Galaxy Tab 3 8.0 (WiFi),SM-T311,TCLPortugal (vodafone),T311XXUAMG1,4.2.2,05.07.2013,991930,Unlock,TCL-T311XXUAMG1-20130822174654.zip,http://hotfile.com/dl/240993781/386fc21/TCL-T311XXUAMG1-20130822174654.zip.html,00225
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0660,system,system,O,,,,,
/dev/HPD,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p13,,,,0660,system,radio,O,,,,,
/dev/exynos-mem,,,,0660,system,graphics,O,,,,,
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/hidraw*,,,,0660,root,system,O,,,,,
/dev/i2c-2,,,,0660,system,system,O,,,,,
/dev/i2c-5,,,,0660,system,system,O,,,,,
/dev/i2c-7,,,,0660,system,system,O,,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/s3c-mfc,,,,0660,media,graphics,O,,,,,
/dev/srp,,,,0660,system,audio,O,,,,,
/dev/srp_ctrl,,,,0660,system,audio,O,,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/umts*,,,,0660,system,radio,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/video0,,,,0660,system,camera,O,,,,,
/dev/video1,,,,0660,system,camera,O,,,,,
/dev/video11,,,,0660,system,system,O,,,,,
/dev/video12,,,,0660,system,system,O,,,,,
/dev/video16,,,,0660,system,system,O,,,,,
/dev/video2,,,,0660,system,camera,O,,,,,
/dev/video20,,,,0660,system,system,O,,,,,
/dev/video3,,,,0660,system,camera,O,,,,,
