Galaxy Premier,GT-I9260,BRITaiwan,I9260ZTAMA1,4.1.1,22.01.2013,622456,Unlock,Samsung-Updates.com-GT-I9260-BRI-I9260ZTAMA1-1358820360.zip,http://hotfile.com/dl/191903210/b81c91a/Samsung-Updates.com-GT-I9260-BRI-I9260ZTAMA1-1358820360.zip.html,00045
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/block/mmcblk0p7,,,,0660,radio,radio,O,,,,,
/dev/fmradio,,,,0660,system,audio,O,,,,,
/dev/gcioctl,,,,0666,system,system,O,O,,,,
/dev/hdcp,,,,0664,root,root,O,,,,,
/dev/i2c-4,,,,0660,system,system,O,,,,,
/dev/ion,,,,0777,root,root,O,O,,,,
/dev/pvrsrvkm,,,,0666,system,system,O,O,,,,
/dev/tspdrv,,,,0660,root,shell,O,,,,,
/dev/ttyO1,,,,0600,bluetooth,bluetooth,O,,,,,
/dev/ttyO3,,,,0600,nfc,nfc,O,,,,,
/dev/ttyUSB0,,,,0666,system,system,O,O,,,,
/dev/ttyUSB1,,,,0666,system,system,O,O,,,,
/dev/ttyUSB2,,,,0666,system,system,O,O,,,,
/dev/umts_csd,,,,0660,radio,system,O,,,,,
/dev/umts_router,,,,0660,radio,system,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/usb_mtp_gadget,,,,0660,system,system,O,,,,,
