Galaxy Tab 8.9 (3G + WiFi),GT-P7300,VNZNew zealand (vodafone),P7300XXLQG,4.0.4,19.04.2013,1216877,Unlock,VNZ-P7300XXLQG-20130819150008.zip,http://hotfile.com/dl/240442535/bb1f8be/VNZ-P7300XXLQG-20130819150008.zip.html,00126
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/akm8975,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0,,,,0640,root,radio,O,,,,,
/dev/block/mmcblk0p6,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,radio,O,,,,,
/dev/camera*,,,,0660,media,camera,O,,,,,
/dev/focuser*,,,,0660,media,camera,O,,,,,
/dev/knvmap,,,,0660,system,system,O,,,,,
/dev/link_pm,,,,0660,system,radio,O,,,,,
/dev/nvhdcp0,,,,0666,system,system,O,O,,,,
/dev/nvhdcp1,,,,0666,system,system,O,O,,,,
/dev/nvmap,,,,0666,system,system,O,O,,,,
/dev/ov2710,,,,0660,media,camera,O,,,,,
/dev/ov5650,,,,0660,media,camera,O,,,,,
/dev/s5k5bbgx,,,,0660,media,camera,O,,,,,
/dev/s5k5ccgx,,,,0660,media,camera,O,,,,,
/dev/sh532u,,,,0660,media,camera,O,,,,,
/dev/spdif*,,,,0660,system,audio,O,,,,,
/dev/storage,,,,0660,system,radio,O,,,,,
/dev/tegra_avp,,,,0660,media,media,O,,,,,
/dev/tegra_camera,,,,0660,media,camera,O,,,,,
/dev/tegra_dc*,,,,0660,system,system,O,,,,,
/dev/tegra_mediaserver,,,,0660,media,media,O,,,,,
/dev/tegra_rpc,,,,0660,media,media,O,,,,,
/dev/tegra_sema,,,,0660,media,media,O,,,,,
/dev/torch*,,,,0660,media,camera,O,,,,,
/dev/ttyACM*,,,,0660,radio,system,O,,,,,
/dev/umts*,,,,0660,system,radio,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/usb_mtp_gadget,,,,0660,system,system,O,,,,,
/dev/video0,,,,0660,media,camera,O,,,,,
/dev/video1,,,,0660,media,camera,O,,,,,
