Galaxy Note 8.0 LTE,GT-N5120,BTUUnited kingdom,N5120XXCMH1,4.2.2,01.08.2013,1210063,Unlock,BTU-N5120XXCMH1-20130820160242.zip,http://hotfile.com/dl/240609025/7e307d1/BTU-N5120XXCMH1-20130820160242.zip.html,00063
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0660,system,system,O,,,,,
/dev/HPD,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p13,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p14,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p5,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p6,,,,0660,system,radio,O,,,,,
/dev/exynos-mem,,,,0660,system,graphics,O,,,,,
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/hidraw*,,,,0660,root,system,O,,,,,
/dev/hsic*,,,,0660,system,radio,O,,,,,
/dev/i2c-2,,,,0660,system,system,O,,,,,
/dev/i2c-5,,,,0660,system,system,O,,,,,
/dev/i2c-7,,,,0660,system,system,O,,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/mdm,,,,0660,system,radio,O,,,,,
/dev/s3c-mfc,,,,0660,media,graphics,O,,,,,
/dev/srp,,,,0660,system,audio,O,,,,,
/dev/srp_ctrl,,,,0660,system,audio,O,,,,,
/dev/ttyUSB0,,,,0660,system,system,O,,,,,
/dev/ttyUSB1,,,,0666,system,system,O,O,,,,
/dev/ttyUSB2,,,,0660,system,system,O,,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/umts*,,,,0660,system,radio,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/video0,,,,0660,system,camera,O,,,,,
/dev/video1,,,,0660,system,camera,O,,,,,
/dev/video11,,,,0660,system,system,O,,,,,
/dev/video12,,,,0660,system,system,O,,,,,
/dev/video16,,,,0660,system,system,O,,,,,
/dev/video2,,,,0660,system,camera,O,,,,,
/dev/video20,,,,0660,system,system,O,,,,,
/dev/video3,,,,0660,system,camera,O,,,,,
