Galaxy Tab 7.7,GT-P6800,GLBPhilippines (globe),P6800DXMD3,4.1.2,22.04.2013,1157844,Unlock,Samsung-Updates.com-GT-P6800-GLB-P6800DXMD3-1366634883.zip,http://hotfile.com/dl/217325144/d7b92da/Samsung-Updates.com-GT-P6800-GLB-P6800DXMD3-1366634883.zip.html,00124
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/exynos-mem,,,,0666,system,graphics,O,O,,,O
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/s3c-mfc,,,,0666,system,graphics,O,O,,,,
/dev/s5p-jpeg,,,,0666,system,camera,O,O,,,,
/dev/s5p-mfc,,,,0666,system,graphics,O,O,,,,
/dev/ttyUSB0,,,,0666,system,system,O,O,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/video0,,,,0666,system,m2m,O,O,,,,
/dev/video1,,,,0666,system,camera,O,O,,,,
/dev/video11,,,,0666,system,graphics,O,O,,,,
/dev/video2,,,,0666,system,m2m,O,O,,,,
/dev/video20,,,,0666,system,system,O,O,,,,
/dev/video26,,,,0666,media,m2m,O,O,,,,
/dev/video29,,,,0666,media,m2m,O,O,,,,
/dev/video3,,,,0666,system,m2m,O,O,,,,
/dev/video4,,,,0666,system,m2m,O,O,,,,
