Galaxy Note 10.1 (3G + WiFi),GT-N8000,UFNArgentina (moviestar),N8000UBALK1,4.0.4,02.11.2012,1162421,Unlock,Samsung-Updates.com-GT-N8000-UFN-N8000UBALK1-1351830743.zip,http://hotfile.com/dl/188009139/64a8aa4/Samsung-Updates.com-GT-N8000-UFN-N8000UBALK1-1351830743.zip.html,00078
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0666,system,system,O,O,,,,
/dev/HPD,,,,0666,system,system,O,O,,,,
/dev/block/mmcblk0p7,,,,0660,system,radio,O,,,,,
/dev/cdma*,,,,0660,system,radio,O,,,,,
/dev/exynos-mem,,,,0666,system,graphics,O,O,,,O
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/fmradio,,,,0660,system,audio,O,,,,,
/dev/i2c-16,,,,0666,system,system,O,O,,,,
/dev/i2c-5,,,,0666,system,system,O,O,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/link_pm,,,,0660,system,radio,O,,,,,
/dev/lte*,,,,0660,system,radio,O,,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/pmem_cam,,,,0660,system,camera,O,,,,,
/dev/s3c-mfc,,,,0666,system,graphics,O,O,,,,
/dev/s5p-mfc,,,,0666,system,graphics,O,O,,,,
/dev/srp,,,,0660,system,audio,O,,,,,
/dev/ttySAC*,,,,0660,root,system,O,,,,,
/dev/ttyUSB0,,,,0666,system,system,O,O,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/umts*,,,,0660,system,radio,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/video0,,,,0666,system,m2m,O,O,,,,
/dev/video1,,,,0666,system,camera,O,O,,,,
/dev/video11,,,,0666,system,system,O,O,,,,
/dev/video12,,,,0666,system,system,O,O,,,,
/dev/video16,,,,0666,system,system,O,O,,,,
/dev/video2,,,,0666,system,m2m,O,O,,,,
/dev/video20,,,,0666,system,system,O,O,,,,
/dev/video3,,,,0666,system,m2m,O,O,,,,
/dev/video4,,,,0666,system,m2m,O,O,,,,
