Galaxy Note 8.0 LTE,GT-N5120,TGYHong kong,N5120ZHBMG3,4.1.2,24.07.2013,1327280,Unlock,TGY-N5120ZHBMG3-20130808111301.zip,http://hotfile.com/dl/238390819/756af24/TGY-N5120ZHBMG3-20130808111301.zip.html,00064
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0660,system,system,O,,,,,
/dev/HPD,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p13,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p14,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p5,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p6,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p8,,,,0660,system,system,O,,,,,
/dev/exynos-mem,,,,0666,system,graphics,O,O,,,O
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/fmradio,,,,0660,system,audio,O,,,,,
/dev/hidraw*,,,,0660,root,system,O,,,,,
/dev/hsic*,,,,0660,system,radio,O,,,,,
/dev/i2c-2,,,,0660,system,system,O,,,,,
/dev/i2c-5,,,,0660,system,system,O,,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/mdm,,,,0660,system,radio,O,,,,,
/dev/media0,,,,0660,system,system,O,,,,,
/dev/media1,,,,0660,system,camera,O,,,,,
/dev/media2,,,,0660,system,camera,O,,,,,
/dev/s3c-mfc,,,,0660,system,graphics,O,,,,,
/dev/s5p-mfc,,,,0666,system,graphics,O,O,,,,
/dev/srp,,,,0660,system,audio,O,,,,,
/dev/ttyUSB0,,,,0666,system,system,O,O,,,,
/dev/ttyUSB1,,,,0666,system,system,O,O,,,,
/dev/ttyUSB2,,,,0666,system,system,O,O,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/v4l-subdev0,,,,0660,system,system,O,,,,,
/dev/v4l-subdev1,,,,0660,system,system,O,,,,,
/dev/v4l-subdev10,,,,0660,system,system,O,,,,,
/dev/v4l-subdev11,,,,0660,system,system,O,,,,,
/dev/v4l-subdev12,,,,0660,system,system,O,,,,,
/dev/v4l-subdev13,,,,0660,system,system,O,,,,,
/dev/v4l-subdev14,,,,0660,system,system,O,,,,,
/dev/v4l-subdev15,,,,0660,system,system,O,,,,,
/dev/v4l-subdev16,,,,0660,system,system,O,,,,,
/dev/v4l-subdev17,,,,0660,system,system,O,,,,,
/dev/v4l-subdev3,,,,0660,system,system,O,,,,,
/dev/v4l-subdev4,,,,0660,system,system,O,,,,,
/dev/v4l-subdev5,,,,0660,system,system,O,,,,,
/dev/v4l-subdev6,,,,0660,system,system,O,,,,,
/dev/v4l-subdev7,,,,0660,system,system,O,,,,,
/dev/v4l-subdev8,,,,0660,system,system,O,,,,,
/dev/v4l-subdev9,,,,0660,system,system,O,,,,,
/dev/video0,,,,0660,system,camera,O,,,,,
/dev/video1,,,,0660,system,camera,O,,,,,
/dev/video11,,,,0666,system,graphics,O,O,,,,
/dev/video12,,,,0660,system,camera,O,,,,,
/dev/video16,,,,0660,system,system,O,,,,,
/dev/video17,,,,0660,system,system,O,,,,,
/dev/video18,,,,0660,system,system,O,,,,,
/dev/video19,,,,0660,system,system,O,,,,,
/dev/video2,,,,0660,system,camera,O,,,,,
/dev/video20,,,,0660,system,system,O,,,,,
/dev/video21,,,,0660,system,system,O,,,,,
/dev/video23,,,,0660,system,system,O,,,,,
/dev/video24,,,,0660,system,system,O,,,,,
/dev/video25,,,,0660,system,camera,O,,,,,
/dev/video26,,,,0666,media,m2m,O,O,,,,
/dev/video29,,,,0666,media,m2m,O,O,,,,
/dev/video3,,,,0660,system,camera,O,,,,,
/dev/video32,,,,0660,media,m2m,O,,,,,
/dev/video33,,,,0660,system,system,O,,,,,
/dev/video34,,,,0660,system,system,O,,,,,
/dev/video4,,,,0666,system,m2m,O,O,,,,
/dev/video40,,,,0660,system,camera,O,,,,,
/dev/video41,,,,0660,system,camera,O,,,,,
/dev/video42,,,,0660,system,camera,O,,,,,
/dev/video43,,,,0660,system,camera,O,,,,,
/dev/video6,,,,0660,media,graphics,O,,,,,
/dev/video7,,,,0660,media,graphics,O,,,,,
